id_country,year,parity_index_ter,name
SAS,1996,0.569750010967255,South Asia
SSF,1996,0.630509972572327,Sub-Saharan Africa
EAS,1997,0.7814000248909,East Asia & Pacific
ECS,1997,1.09607994556427,Europe & Central Asia
LCN,1997,1.12056005001068,Latin America & Caribbean
MEA,1997,0.791159987449646,Middle East & North Africa
NAC,1997,1.23502004146576,North America
SAS,1997,0.582360029220581,South Asia
SSF,1997,0.644349992275238,Sub-Saharan Africa
EAS,1998,0.802049994468689,East Asia & Pacific
ECS,1998,1.11558997631073,Europe & Central Asia
LCN,1998,1.12633001804352,Latin America & Caribbean
MEA,1998,0.828830003738403,Middle East & North Africa
NAC,1998,1.24058997631073,North America
SAS,1998,0.602859973907471,South Asia
SSF,1998,0.665859997272491,Sub-Saharan Africa
EAS,1999,0.832870006561279,East Asia & Pacific
ECS,1999,1.12188005447388,Europe & Central Asia
LCN,1999,1.14522004127502,Latin America & Caribbean
MEA,1999,0.863059997558594,Middle East & North Africa
NAC,1999,1.24150002002716,North America
SAS,1999,0.622409999370575,South Asia
SSF,1999,0.689490020275116,Sub-Saharan Africa
EAS,2000,0.846390008926392,East Asia & Pacific
ECS,2000,1.13014996051788,Europe & Central Asia
LCN,2000,1.15325999259949,Latin America & Caribbean
MEA,2000,0.893440008163452,Middle East & North Africa
NAC,2000,1.24357998371124,North America
SAS,2000,0.638450026512146,South Asia
SSF,2000,0.693769991397858,Sub-Saharan Africa
EAS,2001,0.837790012359619,East Asia & Pacific
ECS,2001,1.14104998111725,Europe & Central Asia
LCN,2001,1.14936995506287,Latin America & Caribbean
MEA,2001,0.915639996528625,Middle East & North Africa
NAC,2001,1.25282001495361,North America
SAS,2001,0.663420021533966,South Asia
SSF,2001,0.690060019493103,Sub-Saharan Africa
EAS,2002,0.871240019798279,East Asia & Pacific
ECS,2002,1.16087996959686,Europe & Central Asia
LCN,2002,1.15644001960754,Latin America & Caribbean
MEA,2002,0.942740023136139,Middle East & North Africa
NAC,2002,1.26303994655609,North America
SAS,2002,0.672900021076202,South Asia
SSF,2002,0.696979999542236,Sub-Saharan Africa
EAS,2003,0.881470024585724,East Asia & Pacific
ECS,2003,1.15778994560242,Europe & Central Asia
LCN,2003,1.16295003890991,Latin America & Caribbean
MEA,2003,0.989809989929199,Middle East & North Africa
NAC,2003,1.27542996406555,North America
