id_country,name,region,incomeLevel,year,female,male,gdp_pc_2010
BLZ,Belize,LCN,UMC,2015,2098.904,2288.528,6154.49593498217
BLZ,Belize,LCN,UMC,2016,1981.013,1852.931,6016.49646985703
BLZ,Belize,LCN,UMC,2017,1518.014,1930.149,5772.92692023491
BLZ,Belize,LCN,UMC,2018,831.316,1348.185,5729.21045186202
BLZ,Belize,LCN,UMC,2019,2343.489,1893.009,5886.9622354935
BLZ,Belize,LCN,UMC,2020,2887.32,2887.32,5003.87784847193
BOL,Bolivia,LCN,LMC,2011,1019.456,1286.033,2568.52051362119
BOL,Bolivia,LCN,LMC,2012,1450.415,1674.343,2657.23884603876
BOL,Bolivia,LCN,LMC,2013,1563.649,2042.66,2793.51456770698
BOL,Bolivia,LCN,LMC,2014,1595.941,1990.909,2900.90241433528
BOL,Bolivia,LCN,LMC,2015,2063.663,1744.509,2996.01289804214
BOL,Bolivia,LCN,LMC,2016,1855.403,2279.59,3077.57057479881
BOL,Bolivia,LCN,LMC,2017,1981.802,2451.679,3160.16421043125
BOL,Bolivia,LCN,LMC,2018,1906.891,2441.404,3246.7643418883
BOL,Bolivia,LCN,LMC,2019,2242.028,2550.767,3272.38170834596
BOL,Bolivia,LCN,LMC,2020,2035.146,2538.913,2949.81954615545
BOL,Bolivia,LCN,LMC,2021,2569.837,2831.423,3098.35062100148
BOL,Bolivia,LCN,LMC,2022,2803.316,2962.156,3172.91046271232
BRA,Brazil,LCN,UMC,2012,1515.054,1898.271,9167.49923975685
BRA,Brazil,LCN,UMC,2013,1466.041,1772.164,9366.73932481225
BRA,Brazil,LCN,UMC,2014,1584.914,1981.998,9338.34278324839
BRA,Brazil,LCN,UMC,2015,1533.707,1955.354,8936.19661756825
BRA,Brazil,LCN,UMC,2016,1612.823,1966.719,8577.8437669383
BRA,Brazil,LCN,UMC,2017,1638.479,2068.464,8628.25308951214
BRA,Brazil,LCN,UMC,2018,1792.199,2270.638,8722.33630361577
BRA,Brazil,LCN,UMC,2019,1969.611,2499.28,8771.44051336065
BRA,Brazil,LCN,UMC,2020,2158.536,2849.429,8435.01143297182
BRA,Brazil,LCN,UMC,2021,1945.417,2380.208,8799.22945854927
BRA,Brazil,LCN,UMC,2022,2124.573,2504.227,9032.08481611491
BRB,Barbados,LCN,HIC,2016,2085.387,2215.106,19251.9834223357
BRN,Brunei Darussalam,EAS,HIC,2014,5331.561,7808.773,31148.729616258
BTN,Bhutan,SAS,LMC,2018,894.461,1193.926,3300.55006453134
BTN,Bhutan,SAS,LMC,2019,1123.33,1249.987,3467.3859894972
BTN,Bhutan,SAS,LMC,2020,1102.716,1437.693,3092.12428419388
BTN,Bhutan,SAS,LMC,2021,1267.229,1878.527,3206.20367057183
BTN,Bhutan,SAS,LMC,2022,1484.414,1457.808,3349.73309611324
BWA,Botswana,SSF,UMC,2019,2442.651,4561.803,6951.71989827806
BWA,Botswana,SSF,UMC,2020,3209.639,3605.189,6254.2461755493
BWA,Botswana,SSF,UMC,2021,3659.002,3081.856,6896.17866856924
BWA,Botswana,SSF,UMC,2022,4381.676,3670.853,7159.8638374729
CHE,Switzerland,ECS,HIC,2011,3227.007,4736.038,81874.3361860796
CHE,Switzerland,ECS,HIC,2012,3804.951,5518.782,81964.8864216996
CHE,Switzerland,ECS,HIC,2013,3653.998,5460.429,82479.9215356402
CHE,Switzerland,ECS,HIC,2014,3482.886,5592.9,83394.3711423724
CHE,Switzerland,ECS,HIC,2015,4712.384,7193.881,83806.4476003837
CHE,Switzerland,ECS,HIC,2016,5135.209,7414.999,84611.0998479606
CHE,Switzerland,ECS,HIC,2017,4871.543,7269.95,84967.5885484699
CHE,Switzerland,ECS,HIC,2018,4749.267,7104.167,86756.6021294513
CHE,Switzerland,ECS,HIC,2019,5457.658,7910.938,87123.6604363226
CHE,Switzerland,ECS,HIC,2020,5181.601,7397.443,84637.0132313179
CHE,Switzerland,ECS,HIC,2021,5322.307,7480.898,88520.3220012179
CHE,Switzerland,ECS,HIC,2022,6790.587,9387.12,90043.4100399046
CHL,Chile,LCN,HIC,2011,2867.785,4333.972,12252.8441071997
CHL,Chile,LCN,HIC,2013,2942.31,3753.806,13182.7329616958
CHL,Chile,LCN,HIC,2015,2673.984,4283.215,13433.9202985339
CHL,Chile,LCN,HIC,2017,3214.941,4981.955,13473.3458532575
CHL,Chile,LCN,HIC,2018,2823.691,4190.734,13763.0068840877
CHL,Chile,LCN,HIC,2020,3801.801,5141.618,12679.0240036611
CHL,Chile,LCN,HIC,2021,3907.289,4204.576,14053.8743826368
CHL,Chile,LCN,HIC,2022,3127.689,4128.077,14272.2709917484
CIV,Cote d'Ivoire,SSF,LMC,2017,,1840.161,1972.81431788947
CIV,Cote d'Ivoire,SSF,LMC,2019,419.753,455.204,2093.09994335779
CIV,Cote d'Ivoire,SSF,LMC,2022,,1702.013,2223.28825303231
CMR,Cameroon,SSF,LMC,2014,473.186,1150.777,1381.81938454907
COD,"Congo, Dem. Rep.",SSF,LIC,2012,149.734,252.598,407.671076943679
COL,Colombia,LCN,UMC,2011,1248.544,1123.465,5517.1011086899
COL,Colombia,LCN,UMC,2012,1274.934,1146.317,5675.75617978305
COL,Colombia,LCN,UMC,2013,1321.826,1196.302,5910.80592301166
COL,Colombia,LCN,UMC,2014,1284.868,1158.689,6121.83982019825
COL,Colombia,LCN,UMC,2015,1247.883,1157.776,6248.51490534512
COL,Colombia,LCN,UMC,2016,1245.92,1135.597,6316.07067782542
COL,Colombia,LCN,UMC,2017,1260.797,1147.468,6309.67745292518
COL,Colombia,LCN,UMC,2018,1303.102,1177.126,6353.5464285392
COL,Colombia,LCN,UMC,2019,1416.739,1302.894,6439.96359812647
COL,Colombia,LCN,UMC,2021,1450.156,1255.041,6457.16921807086
COL,Colombia,LCN,UMC,2022,1949.142,1930.861,6854.20923557884
COM,Comoros,SSF,LMC,2014,516.932,484.099,1342.32965963909
COM,Comoros,SSF,LMC,2021,721.128,873.025,1359.76286116275
CPV,Cabo Verde,SSF,LMC,2015,1520.383,2112.604,3415.06266730931
CRI,Costa Rica,LCN,UMC,2011,4315.015,3871.509,10612.4694861141
CRI,Costa Rica,LCN,UMC,2012,3423.382,4408.235,11001.5192856576
CRI,Costa Rica,LCN,UMC,2013,3646.349,4450.698,11151.1437869768
CRI,Costa Rica,LCN,UMC,2014,4288.148,5230.515,11422.6735793176
CRI,Costa Rica,LCN,UMC,2015,5173.338,5599.585,11714.7105980732
CRI,Costa Rica,LCN,UMC,2016,4614.156,6476.55,12084.4351325634
CRI,Costa Rica,LCN,UMC,2017,4871.853,6276.125,12468.5654531709
CRI,Costa Rica,LCN,UMC,2018,5665.803,5790.509,12679.5253643016
CRI,Costa Rica,LCN,UMC,2019,5579.709,7639.223,12877.650101079
CRI,Costa Rica,LCN,UMC,2020,4430.987,6034.51,12242.2098908533
CRI,Costa Rica,LCN,UMC,2021,4571.554,5316.568,13146.6927918465
CRI,Costa Rica,LCN,UMC,2022,5628.741,5901.51,13686.1614090822
CUW,Curacao,LCN,HIC,2018,2776.999,3319.063,18355.1767135889
CYP,Cyprus,ECS,HIC,2011,6433.134,8441.607,25538.78125
CYP,Cyprus,ECS,HIC,2012,6655.408,9131.378,24285.49609375
CYP,Cyprus,ECS,HIC,2013,7517.227,8096.788,22738.490234375
CYP,Cyprus,ECS,HIC,2014,7652.628,7296.26,22581.828125
CYP,Cyprus,ECS,HIC,2015,6619.279,7891.58,23487.228515625
CYP,Cyprus,ECS,HIC,2016,7955.208,8417.024,24916.6328125
